"country","population","billionaires","by_100K","gni"
"United States of America",331449281,645,0.195,64766
"People's Republic of China",1443497378,466,0.032,17505
"India",1326093247,162,0.012,6590
"Germany",83149300,117,0.141,54535
"Russia",146804372,92,0.063,27167
"Italy",60317000,77,0.128,42840
"Canada",36991981,63,0.17,46808
"Hong Kong",7500700,63,0.84,62607
"Brazil",213317639,50,0.023,14370
"Taiwan",23593794,49,0.208,34756
"United Kingdom",67326569,49,0.073,45225
"Australia",24511800,47,0.192,49239
"Japan",125440000,41,0.033,42275
"Switzerland",8738791,40,0.458,66934
"Singapore",5866139,32,0.546,90919
"South Korea",51466201,32,0.062,44501
"Sweden",10409248,32,0.307,54490
"France",67749632,28,0.041,45938
"Israel",9187000,27,0.294,41524
"Spain",47415750,27,0.057,38354
"Thailand",66188503,27,0.041,17031
"Turkey",85279553,27,0.032,31033
"Indonesia",275439000,26,0.009,11467
"Malaysia",32447385,16,0.049,26658
"Philippines",109035343,13,0.012,8921
"Mexico",124777324,12,0.01,17897
"Netherlands",17590672,12,0.068,55980
"Norway",5488984,11,0.2,64661
"Austria",8979894,8,0.089,53619
"Republic of Ireland",5123536,8,0.156,76169
"Chile",19458000,7,0.036,24564
"Egypt",94798827,7,0.007,11732
"Finland",5516224,7,0.127,49453
"Greece",10432481,7,0.067,29003
"Kazakhstan",19002586,7,0.037,23943
"Poland",38382576,7,0.018,33034
"Cyprus",1141166,6,0.526,38189
"Czech Republic",10533000,6,0.057,38746
"Lebanon",6100075,6,0.098,9526
"Romania",19053815,6,0.031,30028
"Vietnam",96208984,6,0.006,7868
"Argentina",47327407,5,0.011,20926
"Ukraine",41167335,5,0.012,13256
"Belgium",11584008,4,0.035,52294
"Colombia",49065615,4,0.008,14385
"Peru",29381884,4,0.014,12246
"United Arab Emirates",9890400,4,0.04,62574
"Denmark",5827463,3,0.051,60365
"Hungary",9769526,3,0.031,32790
"South Africa",60142978,3,0.005,12949
"Bulgaria",7000039,2,0.029,23079
"Georgia",3717100,2,0.054,14665
"Monaco",38350,2,5.215,186080
"Morocco",37076584,2,0.005,7303
"New Zealand",5118700,2,0.039,44058
"Oman",4829480,2,0.041,27055
"Qatar",2639211,2,0.076,87135
"Slovakia",5449270,2,0.037,30691
"Algeria",43900000,1,0.002,10801
"Armenia",2930450,1,0.034,13158
"Bangladesh",169356251,1,0.001,5473
"Barbados",285719,1,0.35,12307
"Belize",374681,1,0.267,6310
"Estonia",1357739,1,0.074,38049
"Guernsey",63276,1,1.58,66220
"Iceland",364260,1,0.275,55783
"Liechtenstein",37922,1,2.637,146830
"Macau",682100,1,0.147,46730
"Nepal",13751522,1,0.007,3878
"Nigeria",211400708,1,0,4791
"Panama",4098587,1,0.024,26957
"Portugal",10347892,1,0.01,33155
"Saint Kitts and Nevis",55345,1,1.807,23359
"Tanzania",57310019,1,0.002,2665
"Venezuela",28515829,1,0.004,4811
"Zimbabwe",15178979,1,0.007,3810
